race_id,formation,first_numbers,second_numbers,third_numbers,ticket,ticket_probability_estimate,placement_probability,probability_scope,formation_ticket_count,role_score_method
20260526-22-01,137-17-2347,137,17,2347,1-7-2,0.023979207747237274,0.023979207747237274,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,1-7-3,0.020779949757852655,0.020779949757852655,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,1-7-4,0.020401840119764838,0.020401840119764838,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,3-1-2,0.010538152432286844,0.010538152432286844,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,3-1-4,0.008966005188640887,0.008966005188640887,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,3-1-7,0.010117685749790117,0.010117685749790117,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,3-7-2,0.012165423951755678,0.012165423951755678,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,3-7-4,0.010350510203218566,0.010350510203218566,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,7-1-2,0.02290849910890578,0.02290849910890578,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,7-1-3,0.019852092926869958,0.019852092926869958,formation_incremental,11,incremental
20260526-22-01,137-17-2347,137,17,2347,7-1-4,0.01949086646774303,0.01949086646774303,formation_incremental,11,incremental
20260526-22-02,157-17-1357,157,17,1357,1-7-3,0.012107299638024939,0.012107299638024939,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,1-7-5,0.013382387496053852,0.013382387496053852,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,5-1-3,0.01690695620358595,0.01690695620358595,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,5-1-7,0.017559111933482665,0.017559111933482665,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,5-7-1,0.021711721042623828,0.021711721042623828,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,5-7-3,0.015994385159359106,0.015994385159359106,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,7-1-3,0.013019956741379637,0.013019956741379637,formation_incremental,8,incremental
20260526-22-02,157-17-1357,157,17,1357,7-1-5,0.01439116165488941,0.01439116165488941,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,2-5-1,0.009288630218334423,0.009288630218334423,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,2-5-3,0.012792407479944258,0.012792407479944258,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,3-2-1,0.02046946124330093,0.02046946124330093,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,3-2-5,0.02854505983761056,0.02854505983761056,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,3-5-1,0.02344476450410289,0.02344476450410289,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,3-5-2,0.02482433937755437,0.02482433937755437,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,5-2-1,0.007038945383411537,0.007038945383411537,formation_incremental,8,incremental
20260526-22-03,235-25-1235,235,25,1235,5-2-3,0.009694115866076445,0.009694115866076445,formation_incremental,8,incremental
20260526-22-04,157-17-1457,157,17,1457,1-7-4,0.012880907111748113,0.012880907111748113,formation_incremental,8,incremental
20260526-22-04,157-17-1457,157,17,1457,1-7-5,0.013489438780934502,0.013489438780934502,formation_incremental,8,incremental
20260526-22-04,157-17-1457,157,17,1457,5-1-4,0.014275857622414671,0.014275857622414671,formation_incremental,8,incremental
20260526-22-04,157-17-1457,157,17,1457,5-1-7,0.0220238702930313,0.0220238702930313,formation_incremental,8,incremental
