race_id,formation,first_numbers,second_numbers,third_numbers,ticket,ticket_probability_estimate,placement_probability,probability_scope,formation_ticket_count,role_score_method
20260527-21-01,125-15-1345,125,15,1345,1-5-3,0.015934719855983225,0.015934719855983225,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,1-5-4,0.013832365928880106,0.013832365928880106,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-1-3,0.010826328390974591,0.010826328390974591,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-1-4,0.00939795222781744,0.00939795222781744,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-1-5,0.011691285867807768,0.011691285867807768,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-5-1,0.010110945533824809,0.010110945533824809,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-5-3,0.009297884612144888,0.009297884612144888,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,2-5-4,0.008071164318047299,0.008071164318047299,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,5-1-3,0.01089502205515209,0.01089502205515209,formation_incremental,10,incremental
20260527-21-01,125-15-1345,125,15,1345,5-1-4,0.00945758276468828,0.00945758276468828,formation_incremental,10,incremental
20260527-21-02,147-12-1257,147,12,1257,1-2-5,0.015757902953993746,0.015757902953993746,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,1-2-7,0.013276385057645732,0.013276385057645732,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-1-2,0.014526183429915983,0.014526183429915983,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-1-5,0.014327799096708163,0.014327799096708163,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-1-7,0.01207149062866108,0.01207149062866108,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-2-1,0.015377689702823076,0.015377689702823076,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-2-5,0.013331979717293871,0.013331979717293871,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,4-2-7,0.01123249056833775,0.01123249056833775,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,7-1-2,0.013921600954804025,0.013921600954804025,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,7-1-5,0.01373147341470176,0.01373147341470176,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,7-2-1,0.014737667377145321,0.014737667377145321,formation_incremental,12,incremental
20260527-21-02,147-12-1257,147,12,1257,7-2-5,0.012777100224375984,0.012777100224375984,formation_incremental,12,incremental
20260527-21-03,237-37-1357,237,37,1357,2-3-1,0.008981375188931951,0.008981375188931951,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,2-3-5,0.011373045824678645,0.011373045824678645,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,2-3-7,0.012004718361158602,0.012004718361158602,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,2-7-1,0.008589911207310386,0.008589911207310386,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,2-7-3,0.012764492793388234,0.012764492793388234,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,2-7-5,0.010877338017350904,0.010877338017350904,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,3-7-1,0.019849942337910334,0.019849942337910334,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,3-7-5,0.025135828208634192,0.025135828208634192,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,7-3-1,0.012016268340554845,0.012016268340554845,formation_incremental,10,incremental
20260527-21-03,237-37-1357,237,37,1357,7-3-5,0.015216107511818244,0.015216107511818244,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,1-4-3,0.018774179858005353,0.018774179858005353,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,1-4-7,0.013797428663351737,0.013797428663351737,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,4-1-3,0.016762222609854962,0.016762222609854962,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,4-1-7,0.01231881085873794,0.01231881085873794,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-1-3,0.013105552528101845,0.013105552528101845,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-1-4,0.012266945563825961,0.012266945563825961,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-1-7,0.009631468722890228,0.009631468722890228,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-4-1,0.012341207358573572,0.012341207358573572,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-4-3,0.0113739661964992,0.0113739661964992,formation_incremental,10,incremental
20260527-21-04,145-14-1347,145,14,1347,5-4-7,0.008358899744355854,0.008358899744355854,formation_incremental,10,incremental
