race_id,formation,first_numbers,second_numbers,third_numbers,ticket,ticket_probability_estimate,placement_probability,probability_scope,formation_ticket_count,role_score_method
20260530-11-01,125-15-1235,125,15,1235,1-5-2,0.0246479136115809,0.0246479136115809,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,1-5-3,0.024536796572543543,0.024536796572543543,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,2-1-3,0.010018761969372377,0.010018761969372377,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,2-1-5,0.013220765973666608,0.013220765973666608,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,2-5-1,0.013322025934356996,0.013322025934356996,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,2-5-3,0.01001347072796991,0.01001347072796991,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,5-1-2,0.028971085647576767,0.028971085647576767,formation_incremental,8,incremental
20260530-11-01,125-15-1235,125,15,1235,5-1-3,0.028840479004532387,0.028840479004532387,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,2-4-1,0.01886901225863498,0.01886901225863498,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,2-4-7,0.017712589799873113,0.017712589799873113,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,4-2-1,0.008604507870561771,0.008604507870561771,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,4-2-7,0.008077164625895783,0.008077164625895783,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,7-2-1,0.014075224511989271,0.014075224511989271,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,7-2-4,0.019989216415198862,0.019989216415198862,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,7-4-1,0.01343918056218965,0.01343918056218965,formation_incremental,8,incremental
20260530-11-02,247-24-1247,247,24,1247,7-4-2,0.015465232779088308,0.015465232779088308,formation_incremental,8,incremental
20260530-11-03,237-17-1457,237,17,1457,2-1-4,0.011558548814396684,0.011558548814396684,formation_incremental,14,incremental
20260530-11-03,237-17-1457,237,17,1457,2-1-5,0.013880546777369818,0.013880546777369818,formation_incremental,14,incremental
