race_id,formation,first_numbers,second_numbers,third_numbers,ticket,ticket_probability_estimate,placement_probability,probability_scope,formation_ticket_count,role_score_method
20260529-12-03,123-13-1234,123,13,1234,1-3-2,0.019710590001493146,0.019710590001493146,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,1-3-4,0.020995376383026124,0.020995376383026124,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,2-1-3,0.009991656901210559,0.009991656901210559,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,2-1-4,0.012442275585779278,0.012442275585779278,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,2-3-1,0.010185619945587226,0.010185619945587226,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,2-3-4,0.008716784379694401,0.008716784379694401,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,3-1-2,0.019554871512403763,0.019554871512403763,formation_incremental,8,incremental
20260529-12-03,123-13-1234,123,13,1234,3-1-4,0.020829507766816257,0.020829507766816257,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,1-2-3,0.013443726615168525,0.013443726615168525,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,1-2-4,0.012364574493588697,0.012364574493588697,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,2-1-3,0.016369140087936235,0.016369140087936235,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,2-1-4,0.015055159763879169,0.015055159763879169,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,4-1-2,0.010159991141286016,0.010159991141286016,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,4-1-3,0.010827751722737445,0.010827751722737445,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,4-2-1,0.01177060071254502,0.01177060071254502,formation_incremental,8,incremental
20260529-12-04,124-12-1234,124,12,1234,4-2-3,0.010693639781148885,0.010693639781148885,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,1-2-3,0.019895453039741426,0.019895453039741426,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,1-2-4,0.021042228921941034,0.021042228921941034,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,2-1-3,0.018511376984810958,0.018511376984810958,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,2-1-4,0.019578374586226827,0.019578374586226827,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,4-1-2,0.009678428656678987,0.009678428656678987,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,4-1-3,0.008919344804834625,0.008919344804834625,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,4-2-1,0.01197110163735271,0.01197110163735271,formation_incremental,8,incremental
20260529-12-05,124-12-1234,124,12,1234,4-2-3,0.00913739721085199,0.00913739721085199,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,1-2-3,0.018278699044545807,0.018278699044545807,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,1-2-5,0.01641791700173054,0.01641791700173054,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,2-1-3,0.018853137764435392,0.018853137764435392,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,2-1-5,0.01693387753058129,0.01693387753058129,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,3-1-2,0.015753443255166654,0.015753443255166654,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,3-1-5,0.01349354784050516,0.01349354784050516,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,3-2-1,0.017607917588705994,0.017607917588705994,formation_incremental,8,incremental
20260529-12-06,123-12-1235,123,12,1235,3-2-5,0.012271309710355666,0.012271309710355666,formation_incremental,8,incremental
20260529-12-07,126-12-1234,126,12,1234,1-2-3,0.016351476244356,0.016351476244356,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,1-2-4,0.012181725223364871,0.012181725223364871,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,2-1-3,0.012670380616374025,0.012670380616374025,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,2-1-4,0.009439337026061633,0.009439337026061633,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-1-2,0.012123658251928427,0.012123658251928427,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-1-3,0.011361458416036,0.011361458416036,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-1-4,0.008464199959230517,0.008464199959230517,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-2-1,0.007809277700464555,0.007809277700464555,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-2-3,0.008006029727222214,0.008006029727222214,formation_incremental,10,incremental
20260529-12-07,126-12-1234,126,12,1234,6-2-4,0.005964431150415245,0.005964431150415245,formation_incremental,10,incremental
20260529-12-08,123-12-1234,123,12,1234,1-2-3,0.010627387218164128,0.010627387218164128,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,1-2-4,0.012311845075139171,0.012311845075139171,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,2-1-3,0.015508510022058795,0.015508510022058795,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,2-1-4,0.017966633643637528,0.017966633643637528,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,3-1-2,0.012423228294251793,0.012423228294251793,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,3-1-4,0.013059556554653151,0.013059556554653151,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,3-2-1,0.015052785350615175,0.015052785350615175,formation_incremental,8,incremental
20260529-12-08,123-12-1234,123,12,1234,3-2-4,0.014199326199571989,0.014199326199571989,formation_incremental,8,incremental
20260529-12-09,134-12-1234,134,12,1234,1-2-3,0.024397094394961127,0.024397094394961127,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,1-2-4,0.028078794074665656,0.028078794074665656,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,3-1-2,0.013859935356457973,0.013859935356457973,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,3-1-4,0.012163204352115056,0.012163204352115056,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,3-2-1,0.015369712590185857,0.015369712590185857,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,3-2-4,0.012524756751794593,0.012524756751794593,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,4-1-2,0.01223290232877253,0.01223290232877253,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,4-1-3,0.009327729892542578,0.009327729892542578,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,4-2-1,0.01356544515551754,0.01356544515551754,formation_incremental,10,incremental
20260529-12-09,134-12-1234,134,12,1234,4-2-3,0.009604997545751484,0.009604997545751484,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,1-2-3,0.01102303735291298,0.01102303735291298,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,1-2-4,0.012995831930117998,0.012995831930117998,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,2-1-3,0.010036222583820462,0.010036222583820462,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,2-1-4,0.01183240678016189,0.01183240678016189,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,5-1-2,0.014260171401610776,0.014260171401610776,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,5-1-3,0.009845221571799116,0.009845221571799116,formation_incremental,10,incremental
20260529-21-01,125-12-1234,125,12,1234,5-1-4,0.011607222289604405,0.011607222289604405,formation_incremental,10,incremental
